offer_id,title,company_name,dominant_topic,topic_confidence,topic_label
1,Data Analyst,Test Company,7,0.5624999964529764,Product Management & Développement Java
2,Data Scientist,Test Company 2,3,0.7083333319952473,Direction Commerciale & Administration IT
249,Directeur systèmes d'information indépendant H/F,DSIACTIVE,5,0.5312501820506591,Gestion de Projet & Développement
250,Directeur systèmes d'information indépendant H/F,DSIACTIVE,5,0.5312501820506591,Gestion de Projet & Développement
251,Directeur systèmes d'information indépendant H/F,DSIACTIVE,5,0.5312501820506591,Gestion de Projet & Développement
253,Chef(fe) de projet datas et systèmes informations finance H/F,CRIT EXPERTS ET CADRES LYON,0,0.446435874735518,Ingénierie Cloud & Cybersécurité
254,DIRECTEUR DES SYSTÈMES D'INFORMATION INDÉPENDANT (H/F),DSIACTIVE,5,0.5312501820506591,Gestion de Projet & Développement
259,DIRECTEUR DES SYSTÈMES D'INFORMATION INDÉPENDANT (H/F),DSIACTIVE,5,0.5312501820506591,Gestion de Projet & Développement
262,DIRECTEUR DES SYSTÈMES D'INFORMATION INDÉPENDANT (H/F),DSIACTIVE,5,0.5312501820506591,Gestion de Projet & Développement
264,Ingénieur·e DevOps / Systèmes & Cloud (H/F),Nextep HR,7,0.531089999452549,Product Management & Développement Java
280,Ingénieur DevOps F/H,ENOVACOM,7,0.7081586183825718,Product Management & Développement Java
314,Directeur de l'Excellence opérationnelle et de la digitalisation H/F,VALIANCE,4,0.2812774027191385,Gestion Commerciale & Qualité
329,Ingénieur Développement F/H,ENOVACOM,7,0.7081586748994713,Product Management & Développement Java
333,Chef de projet Finance - Dématérialisation H/F,Nextep HR,0,0.7812499955414326,Ingénierie Cloud & Cybersécurité
336,Consultant Intelligence Artificielle H/F Maroc,OUICODING SAS,1,0.5312412097253632,Consulting & Architecture IT
338,Chef de projet Géomarketing - Réseau logistique & Optimisation (H/F),Genius Talent,0,0.4250187348944417,Ingénierie Cloud & Cybersécurité
339,Ingénieur développement logiciel - TS Node.js H/F,VIVERIS,7,0.7811419424808131,Product Management & Développement Java
340,Développeur logiciel C++/Qt - Robotique  H/F,VIVERIS,3,0.7082168105391866,Direction Commerciale & Administration IT
342,Stage Ingénieur Développeur Web et Cloud AWS H/F,VIVERIS,3,0.5311805103824824,Direction Commerciale & Administration IT
343,Ingénieur(e) PMO (H/F),NEO2,3,0.37499113324523325,Direction Commerciale & Administration IT
344,Chargé Etudes Réseaux Electrique,ADECCO FRANCE,5,0.3750015550390232,Gestion de Projet & Développement
345,Administrateur base de données (F/H),RANDSTAD,2,0.375000075400791,Data Analysis & Transformation Digitale
346,Développeur ERP (h/f),ADECCO FRANCE,3,0.7083333299153205,Direction Commerciale & Administration IT
347,Ingénieur Support (h/f),ADECCO,1,0.708319558027352,Consulting & Architecture IT
348,Technicien Systèmes et Réseaux (H/F),API DISTRIBUTION SAS,5,0.7811903276554629,Gestion de Projet & Développement
349,Développeur logiciels F/H,PROXI SYNERGIE,3,0.5624999987212218,Direction Commerciale & Administration IT
350,Chargé.e de Sécurité des systèmes d'information (H/F),MUTAMI,5,0.7812499978023449,Gestion de Projet & Développement
351,Consultant Reprise de Données ERP (H/F),GROUPAGORA,2,0.375003053222146,Data Analysis & Transformation Digitale
352,Consultant fonctionnel ERP (H/F),GROUPAGORA,4,0.5312546281028631,Gestion Commerciale & Qualité
353,Architecte cloud senior (H/F),ACTUAL ITS,7,0.7083041442590018,Product Management & Développement Java
354,Technicien informatique et administratif F/H - Gestion des congés (H/F),MAIRIE,4,0.4021145307441648,Gestion Commerciale & Qualité
355,Développeur JAVA ANGULAR (H/F),E-KENT,3,0.7083333315491134,Direction Commerciale & Administration IT
356,Devops (H/F),E-KENT,7,0.5624999692718367,Product Management & Développement Java
357,Administrateur Grc (H/F),E-KENT,5,0.562499996630201,Gestion de Projet & Développement
358,Data Engineer (H/F),E-QUADRA,4,0.5624999983542897,Gestion Commerciale & Qualité
360,Développeur Salesforce (H/F),E-QUADRA,3,0.5624999987212218,Direction Commerciale & Administration IT
361,Ingénieur Support Applicatif / Projet (H/F),KENT,1,0.624952413431537,Consulting & Architecture IT
362,Technicien Systemes Et Reseaux (H/F),KENT,6,0.5312468376113211,Ingénierie R&D & Data Science
