code_insee,code_postal,code_departement,code_region,nom_commune,nom_commune_complet,nom_departement,nom_region,latitude,longitude,population,superficie_km2
01001,01400,01,84,L ABERGEMENT CLEMENCIAT,L ABERGEMENT CLEMENCIAT,Ain,Auvergne-Rhône-Alpes,,,,
01002,01640,01,84,L ABERGEMENT DE VAREY,L ABERGEMENT DE VAREY,Ain,Auvergne-Rhône-Alpes,,,,
01004,01500,01,84,AMBERIEU EN BUGEY,AMBERIEU EN BUGEY,Ain,Auvergne-Rhône-Alpes,,,,
01005,01330,01,84,AMBERIEUX EN DOMBES,AMBERIEUX EN DOMBES,Ain,Auvergne-Rhône-Alpes,,,,
01006,01300,01,84,AMBLEON,AMBLEON,Ain,Auvergne-Rhône-Alpes,,,,
01007,01500,01,84,AMBRONAY,AMBRONAY,Ain,Auvergne-Rhône-Alpes,,,,
01008,01500,01,84,AMBUTRIX,AMBUTRIX,Ain,Auvergne-Rhône-Alpes,,,,
01009,01300,01,84,ANDERT ET CONDON,ANDERT ET CONDON,Ain,Auvergne-Rhône-Alpes,,,,
01010,01350,01,84,ANGLEFORT,ANGLEFORT,Ain,Auvergne-Rhône-Alpes,,,,
01011,01100,01,84,APREMONT,APREMONT,Ain,Auvergne-Rhône-Alpes,,,,
01012,01110,01,84,ARANC,ARANC,Ain,Auvergne-Rhône-Alpes,,,,
01013,01230,01,84,ARANDAS,ARANDAS,Ain,Auvergne-Rhône-Alpes,,,,
01014,01100,01,84,ARBENT,ARBENT,Ain,Auvergne-Rhône-Alpes,,,,
01015,01300,01,84,ARBOYS EN BUGEY,ARBOYS EN BUGEY,Ain,Auvergne-Rhône-Alpes,,,,
01016,01190,01,84,ARBIGNY,ARBIGNY,Ain,Auvergne-Rhône-Alpes,,,,
01017,01230,01,84,ARGIS,ARGIS,Ain,Auvergne-Rhône-Alpes,,,,
01019,01510,01,84,ARMIX,ARMIX,Ain,Auvergne-Rhône-Alpes,,,,
01021,01480,01,84,ARS SUR FORMANS,ARS SUR FORMANS,Ain,Auvergne-Rhône-Alpes,,,,
01022,01510,01,84,ARTEMARE,ARTEMARE,Ain,Auvergne-Rhône-Alpes,,,,
01023,01570,01,84,ASNIERES SUR SAONE,ASNIERES SUR SAONE,Ain,Auvergne-Rhône-Alpes,,,,
01024,01340,01,84,ATTIGNAT,ATTIGNAT,Ain,Auvergne-Rhône-Alpes,,,,
01025,01380,01,84,BAGE DOMMARTIN,BAGE DOMMARTIN,Ain,Auvergne-Rhône-Alpes,,,,
01026,01380,01,84,BAGE LE CHATEL,BAGE LE CHATEL,Ain,Auvergne-Rhône-Alpes,,,,
01027,01360,01,84,BALAN,BALAN,Ain,Auvergne-Rhône-Alpes,,,,
01028,01990,01,84,BANEINS,BANEINS,Ain,Auvergne-Rhône-Alpes,,,,
01029,01270,01,84,BEAUPONT,BEAUPONT,Ain,Auvergne-Rhône-Alpes,,,,
01030,01480,01,84,BEAUREGARD,BEAUREGARD,Ain,Auvergne-Rhône-Alpes,,,,
01031,01100,01,84,BELLIGNAT,BELLIGNAT,Ain,Auvergne-Rhône-Alpes,,,,
01032,01360,01,84,BELIGNEUX,BELIGNEUX,Ain,Auvergne-Rhône-Alpes,,,,
01033,01200,01,84,VALSERHONE,VALSERHONE,Ain,Auvergne-Rhône-Alpes,,,,
01034,01300,01,84,BELLEY,BELLEY,Ain,Auvergne-Rhône-Alpes,,,,
